グローバルアプリケーション向けに、低遅延読み取り、マルチマスター書き込み、複雑なSQLクエリのサポート、複数リージョン間のデータ整合性を満たすAzureデータベースサービスはどれですか?|SQL API を使用した Azure Cosmos DB|Auto-Failover Group を使用した Azure SQL Database|Read Replicas を使用した Azure Database for MariaDB|Geo-replication と Failover Group を使用した Azure SQL Managed Instance|||||A|Azure Cosmos DB はグローバル分散型NoSQLデータベースであり、複数リージョンへの自動レプリケーションとマルチマスター書き込みをサポートする。SQL API を利用することで SQL に似た構文で複雑なクエリを実行できる。また、低遅延アクセス（ミリ秒レベル）と複数の整合性モデルを提供するため、グローバルアプリケーションの要件に最も適している。|Azure Database Solutions|Azure::CosmosDB Azure::CosmosDB::SQLAPI Cloud::DistributedDatabase Cloud::GlobalApplication
機密データを扱うため、2つのAzure Virtual Network間で安全な通信チャネルを確立し、転送中データを暗号化する必要があります。最も適切な構成はどれですか?|VNet Peering + Private Endpoint + NSG|Azure ExpressRoute 接続（暗号化有効）|VPN Gateway + IPsec トンネル|Application Gateway + WAF|||||C|VPN Gateway は IPsec を使用して暗号化されたトンネルを作成し、VNet 間通信のデータを安全に保護できる。IPsec は暗号化、認証、データ整合性を提供するため、機密データの転送に適している。VNet Peering は暗号化を提供せず、ExpressRoute はプライベート接続だが必ずしも暗号化トンネルではない。Application Gateway は HTTP/HTTPS 用ロードバランサーでありVNet間通信には適していない。|Azure Networking Security|Azure::VNet Azure::VPNGateway Azure::IPsec Cloud::Networking Security::Encryption
ユーザーの地理的位置に基づいてリクエストをルーティングし、複数リージョンに展開されたWebアプリケーションの可用性と低遅延を実現するために、Azure Traffic Manager はどのルーティング方法を使用するべきですか?|Weighted Round Robin|Priority Routing|Geographic Routing|Performance Routing|||||C|Geographic Routing はユーザーの地理的位置（国や地域）に基づいてトラフィックを特定のエンドポイントへルーティングする方式であり、グローバルアプリケーションで地域ごとにユーザーを最適なリージョンへ誘導することができる。Weighted は割合分散、Priority はフェイルオーバー用途、Performance はネットワーク遅延ベースであり、地理条件を直接指定できない。|Azure Traffic Manager|Azure::TrafficManager Azure::GlobalRouting Cloud::LoadBalancing Cloud::HighAvailability
HTTPトリガーを持つ複数のAzure Logic Appsを外部開発者に公開する必要があります。Logic Appsは変更せず、開発者は既存のIDプロバイダーを使用し、外部ユーザーのリクエストにはレート制限を適用する必要があります。この要件を満たすAzureサービスはどれですか?|Azure API Management|Azure AD B2B|Azure AD Application Proxy|Azure Front Door|||||A|Azure API Management は API ゲートウェイとして機能し、Logic Apps などのバックエンドサービスを変更せずに API として公開できる。また、OAuth や外部 ID プロバイダーとの統合、レート制限（Rate Limiting）、スロットリング、アクセス制御、開発者ポータルなどの機能を提供するため、外部開発者向け API 公開に最適である。|Azure API Management|Azure::APIManagement Azure::LogicApps Cloud::APIGateway Cloud::Integration Security::API
Azure DevOps を使用してCI/CDパイプラインを構築しています。リポジトリに新しいコードがプッシュされた際にアプリケーションを自動的にデプロイするには、どのAzureサービスを使用すべきですか?|Azure Logic Apps|Azure DevOps Pipelines|Azure Functions|Azure App Service Deployment Slots|||||B|Azure DevOps Pipelines は CI/CD を実現するためのサービスであり、Git リポジトリへのコードプッシュをトリガーとしてビルド、テスト、デプロイを自動実行できる。Logic Apps はワークフロー自動化、Azure Functions はサーバーレス処理、App Service スロットはデプロイ環境管理の機能であり、CI/CD パイプライン自体を提供するものではない。|Azure DevOps CI/CD|Azure::DevOps Azure::Pipelines DevOps::CI DevOps::CD
Azureでホストする高可用性のステートレスWebアプリケーションを設計する必要があります。アプリはグローバルユーザー向けで低遅延が必要であり、リージョン障害時にも継続稼働する必要があります。最適な構成はどれですか?|Azure VM + Azure Load Balancer + Azure Site Recovery|Azure Kubernetes Service + Traffic Manager|Azure VM + Azure Front Door|Azure App Service (Premium) を複数リージョンに配置し Traffic Manager を使用|||||D|Azure App Service はPaaSであり、インフラ管理を最小化しながら高可用性のWebアプリを実行できる。複数リージョンにデプロイしAzure Traffic Managerを使用することで、DNSベースのグローバルルーティングとフェイルオーバーが可能となり、低遅延と高可用性を実現できる。VMやAKSはより高い運用管理が必要になる。|Azure Architecture|Azure::AppService Azure::TrafficManager Cloud::HighAvailability Cloud::GlobalArchitecture
Azure Event Grid のイベントを処理する Azure Functions アプリを AKS に移行します。AKS クラスターで Event Grid イベントを処理できるようにするために必要な構成はどれですか? (2つ選択)|Azure Application Gateway を使用する|Kubernetes Event-driven Autoscaling (KEDA) を有効化する|Horizontal Pod Autoscaler (HPA) を設定する|Azure Virtual WAN を有効にする|||||B C|KEDA はイベント駆動型スケーリングを提供し、Event Grid などのイベントソースに基づいて Kubernetes ワークロードをスケールできる。HPA は CPU 使用率などのメトリクスに基づいてポッド数を自動調整する。両者を組み合わせることで、イベント量とリソース負荷の両方に対応した自動スケーリングが可能になる。|Azure AKS Autoscaling|Azure::AKS Kubernetes::KEDA Kubernetes::HPA Azure::EventGrid Cloud::Autoscaling
Google、Facebook、Microsoft などの外部IDプロバイダーでログインできるWebアプリを開発しています。ユーザーはセルフサービスでパスワードリセットやプロフィール編集などのアカウント管理も行える必要があります。これを実現するAzureサービスはどれですか?|Azure Active Directory B2C|Azure Active Directory|Azure API Management|Azure App Service Authentication|||||A|Azure AD B2C は消費者向けアプリケーションのためのID管理サービスであり、Google・Facebook・Microsoftなどのソーシャルログインをサポートする。さらにセルフサービスパスワードリセットやプロフィール管理などのユーザー管理機能を提供できるため、外部ユーザー認証を管理する最適なサービスである。|Azure Identity|Azure::ADB2C Azure::Identity Security::Authentication Security::IdentityManagement
Azure Database for MySQL Flexible Server を使用するアプリケーションで、リージョン障害時のダウンタイムとデータ損失を最小限に抑える必要があります。最適な高可用性アプローチはどれですか?|自動フェイルオーバー付きジオレプリケーションを実装する|読み取りレプリカを作成し手動で切り替える|ジオ冗長バックアップを使用する|アクティブパッシブ構成とフェイルオーバーグループを使用する|||||A|ジオレプリケーションはプライマリリージョンのデータをセカンダリリージョンへリアルタイムで複製する仕組みであり、自動フェイルオーバーを組み合わせることでリージョン障害時に迅速に切り替えが可能となる。これによりダウンタイムとデータ損失を最小限に抑えた高可用性構成を実現できる。|Azure MySQL HA|Azure::MySQL Azure::Database Cloud::HighAvailability Cloud::DisasterRecovery
大規模なeコマースプラットフォームで、XMLメッセージを使用して複数のサービス間でトランザクションデータを非同期に通信する必要があります。この要件に最適なAzureサービスはどれですか?|Azure Service Bus|Azure Event Grid|Azure Traffic Manager|Azure Event Hubs|||||A|Azure Service Bus はエンタープライズメッセージングサービスであり、キューやトピックを使用してサービス間の非同期通信を実現できる。メッセージの永続化、デッドレターキュー、トランザクションサポートなどの機能を提供するため、eコマースシステムのような信頼性が重要なメッセージングに最適である。|Azure Messaging|Azure::ServiceBus Cloud::Messaging Cloud::AsyncArchitecture Cloud::Microservices
Azure App Service にデプロイされたWebアプリを複数リージョンで高可用性構成にします。ロードバランサーは URLベースのルーティング、Cookieベースのセッションアフィニティ、WAFによるアプリケーション層攻撃の防御をサポートする必要があります。どのAzureサービスを使用すべきですか?|Azure Front Door|Azure Application Gateway|Azure Load Balancer|Azure Traffic Manager|||||B|Azure Application Gateway は Layer7 のロードバランサーであり、URLベースのルーティング、Cookieベースのセッションアフィニティ、そして Web Application Firewall（WAF）を提供する。Load Balancer は L4、Traffic Manager は DNS ルーティングのみであり、これらの機能を提供できない。|Azure Networking|Azure::ApplicationGateway Azure::WAF Cloud::LoadBalancing Cloud::WebSecurity
複数のソーシャルIDプロバイダー（Google、Facebook、Microsoft）を使用してユーザーがログインできる安全なWebアプリを設計しています。個人情報保護規制にも準拠する必要があります。最適な認証アプローチはどれですか?|OAuth2.0を実装しカスタムAPIでユーザーデータを管理する|OpenID Connect を Azure AD B2C と統合しソーシャルIDプロバイダーと連携する|リバースプロキシで認証を処理し認証情報をローカル保存する|SAML2.0でソーシャルログインのフェデレーションを構成する|||||B|Azure AD B2C は消費者向けID管理サービスであり、GoogleやFacebookなどのソーシャルIDプロバイダーと統合できる。OpenID Connect を使用することで安全なトークンベース認証を提供し、MFAやユーザー属性管理などの機能によりプライバシー規制にも対応できる。|Azure Identity|Azure::ADB2C Security::Authentication Security::OpenIDConnect Identity::Federation Compliance::Privacy
企業は複数拠点間の安全なVPN接続、BGPによる動的ルーティング、アプリケーションレベルのトラフィック制御、リージョン間の高可用性を実現したい。これらの要件を満たすAzureサービスはどれか。|Hub-and-Spokeトポロジーを備えたAzure Virtual WAN|BGP対応のAzure VPN Gateway|Webアプリケーションファイアウォール付きAzure Front Door|URLベースルーティングを備えたAzure Application Gateway|||||A|Azure Virtual WANは大規模な拠点接続を統合管理できるWANサービスであり、BGPによる動的ルーティング、サイト間VPN、Hub-and-Spoke構成、リージョン間の高可用性を提供する。Azure VPN GatewayはVPN接続は可能だが大規模接続管理には不向き。Azure Front DoorとApplication GatewayはWebトラフィックのロードバランシングやWAFを提供するサービスであり、VPN接続やネットワークルーティング機能は提供しない。|Cloud Networking and Security Solutions|Azure::VirtualWAN Azure::Networking Azure::VPN Azure::BGP Cloud::Architecture Cloud::Networking
Azure SQL Database にデータを格納する多層アプリケーションがある。利用率が高い期間中にデータ取得の遅延が発生している。データ取得の応答時間を最小限に抑えるために推奨すべきソリューションはどれか。|Redis 用 Azure キャッシュ|Azure CDN|Azure Application Gateway|Azure Data Factory|||||A|Azure Cache for Redis は頻繁に参照されるデータをメモリ上に保持し、アプリケーションがデータベースへ毎回アクセスしなくても高速に応答できるようにする。その結果、Azure SQL Database への読み取り負荷を軽減し、ピーク時の応答時間を改善できる。Azure CDN は静的コンテンツ配信向けであり、動的なデータベース取得には適さない。Azure Application Gateway は Web トラフィックの負荷分散やルーティングのためのサービスであり、データベース読み取り高速化には直結しない。Azure Data Factory は ETL やデータ連携向けであり、リアルタイム応答改善の用途ではない。|Azure Solutions におけるパフォーマンス最適化|Azure::Redis Azure::SQLDatabase Azure::Performance Cloud::Caching Cloud::Architecture Database::Performance
IoT デバイスがテレメトリデータを Azure Blob Storage に継続的に送信している。このデータを最小限の遅延で Azure SQL Database に取り込み、取り込み時にデータ変換も行う必要がある。このデータ統合に最適な Azure サービスはどれか。|Azure Stream Analytics|マッピングデータフローを備えた Azure Data Factory|SQL コネクタ付き Azure Logic Apps|Blob トリガー付き Azure Functions|||||A|Azure Stream Analytics はリアルタイムストリーム処理サービスであり、継続的なデータ取り込み、低遅延処理、SQL ライクなクエリによるデータ変換をサポートする。また Azure SQL Database へ直接出力できるため、IoT テレメトリデータをリアルタイム分析基盤へ統合する用途に最適である。Azure Data Factory は主にバッチ ETL 用でありリアルタイム処理には向かない。Logic Apps はワークフロー自動化向けで高スループットのストリーム処理には適さない。Azure Functions は実装可能だが追加コードが必要で管理が複雑になる。|データ統合と分析|Azure::StreamAnalytics Azure::BlobStorage Azure::SQLDatabase Azure::DataIntegration Cloud::Streaming Cloud::Architecture
Azure 上でステートフル Web アプリケーションをホストする高可用ソリューションを設計する必要がある。複数インスタンス間でデータ永続性を維持し、リージョン障害時に自動フェールオーバーでき、OS のカスタム構成を許容し、グローバルユーザーの遅延を最小化する必要がある。最適なソリューションはどれか。|永続ストレージを備えた Azure Kubernetes Service (AKS) クラスターを展開し、Azure Traffic Manager を構成する|可用性セットで管理ディスクを使用した Azure 仮想マシンと Azure Load Balancer を使用する|Azure App Service とジオ冗長 Azure SQL Database を使用し Azure Front Door でルーティングする|2つのリージョンに Azure VM を配置し Azure Site Recovery と Application Gateway を使用する|||||A|AKS は Kubernetes によりステートフルアプリケーションを StatefulSet と Persistent Volume を使って実行できる。これによりインスタンス間でデータ永続性を維持できる。さらにカスタムコンテナイメージにより OS 依存関係も管理できる。Azure Traffic Manager を利用すると地理的ルーティングとリージョンフェールオーバーが可能になり、グローバルユーザーの遅延を最小化できる。他の選択肢は OS カスタマイズ制限やグローバルルーティング、オーケストレーション機能が不足する。|Cloud Architecture / Azure Solutions Design|Azure::AKS Azure::TrafficManager Azure::HighAvailability Azure::Container Azure::Architecture Cloud::GlobalRouting
複数リージョンに Web アプリケーションを展開し、ユーザーの可用性を確保しながら遅延を低減する必要がある。アプリケーションは2つのリージョンに展開され、トラフィックを分散するためのグローバルロードバランシングが必要である。どの Azure サービスを使用すべきか。|Azure Traffic Manager|Azure Front Door|Azure Load Balancer|Azure Application Gateway|||||B|Azure Front Door は Web アプリケーション向けのグローバルロードバランサーであり、Microsoft のエッジネットワークを利用してユーザーを最適なリージョンへルーティングする。ヘルスチェックにより障害リージョンを自動的に回避でき、高可用性と低遅延を実現できる。Traffic Manager は DNS ベースでアプリケーションアクセラレーション機能がない。Load Balancer と Application Gateway はリージョン内ロードバランサーであり、グローバル分散には適さない。|Azure ネットワーキング サービス|Azure::FrontDoor Azure::TrafficManager Azure::Networking Azure::GlobalLoadBalancing Cloud::Architecture
Azure Kubernetes Service (AKS) 上のマイクロサービスに対して、指定 IP のみアクセス可能にし、相互 TLS による暗号化通信、クライアント ID に基づくレート制限、Azure Active Directory による認証を実装する必要がある。最適な Azure サービスの組み合わせはどれか。|WAF と Azure Active Directory を統合した Azure Application Gateway|仮想ネットワーク接続と Azure Active Directory 連携を備えた Azure API Management Premium|WAF と Azure Active Directory を統合した Azure Front Door|サービスエンドポイントと Azure Active Directory 連携を備えた Azure API Management Standard|||||B|Azure API Management Premium は API Gateway として API の公開と管理を行い、IP フィルタリング、クライアント ID に基づくレート制限、mTLS、Azure Active Directory 認証などのセキュリティ機能を提供する。また Premium 層では仮想ネットワーク統合が可能であり、AKS 上のマイクロサービスを安全に公開できる。他の選択肢は API 管理機能や高度なセキュリティ機能が不足している。|クラウドアーキテクチャおよびセキュリティ管理|Azure::APIManagement Azure::AKS Azure::Security Azure::ActiveDirectory Cloud::APIGateway Cloud::Microservices
Azure Kubernetes Service (AKS) クラスターを Linux と Windows Server 2022 ノードの両方で運用する必要がある。需要の高い期間に迅速なスケーリングを行い、コンテナリソース使用量に基づく自動スケーリングを実現し、ノード管理の運用負担を減らす必要がある。どのスケーリング戦略を使用すべきか。|ノードプールと組み合わせて Horizontal Pod Autoscaler を実装する|仮想ノードと Azure Container Instances (ACI) を使用する|Cluster Autoscaler を混合 OS ノードプールで構成する|管理ノードグループで自動スケーリングを有効にする|||||C|Cluster Autoscaler は Kubernetes クラスターのノード数を自動的に調整する機能であり、リソース不足時にノードを追加し、利用率が低い場合にはノードを削除する。混合 OS ノードプールを使用することで Linux と Windows Server 2022 の両方のワークロードを同じ AKS クラスターで実行できる。HPA は Pod 数のみをスケールしノードスケーリングは行わない。ACI 仮想ノードはこのシナリオには最適ではない。|Azure Kubernetes Service (AKS) デプロイメント|Azure::AKS Azure::Kubernetes Azure::ClusterAutoscaler Azure::NodePool Cloud::Autoscaling
Azure Functions を使用した HTTP ベースの API を設計する。匿名ユーザーはリソースを読み取りでき、認証ユーザーは新しいリソースを作成できる必要がある。また既存リソースの不正な変更や削除を防ぐ必要がある。どの HTTP メソッドを許可すべきか。|GET と POST のみ|GET、POST、PATCH のみ|GET、POST、DELETE のみ|GET、POST、PUT、DELETE|||||B|GET はリソース取得のための読み取り専用操作であり匿名アクセスを許可できる。POST は新しいリソースの作成に使用される。PATCH は既存リソースの部分更新を可能にする。DELETE を許可すると不正な削除が可能になり、PUT はリソース全体の更新が可能になり不正変更のリスクが高まるため、このシナリオには適さない。|API セキュリティおよび HTTP メソッド|Azure::Functions API::HTTPMethods REST::API Security::APIDesign
Azure Active Directory テナントに外部組織のユーザーやゲストユーザーが存在する。外部ユーザーが自分の組織の資格情報を使用して企業のリソースへアクセスできるようにし、環境に追加の変更を必要としないソリューションはどれか。|Azure AD B2B|Azure AD Identity Protection|Azure AD 条件付きアクセス|Azure AD Join|||||A|Azure AD B2B は外部ユーザーをゲストとして Azure AD テナントに招待し、ユーザーが自分の組織の資格情報を使用して企業リソースへアクセスできるようにする機能である。追加のインフラ変更なしで外部コラボレーションを実現できる。Identity Protection はリスク検出サービスであり、条件付きアクセスはポリシー制御機能、Azure AD Join はデバイス参加機能であり、この要件には適さない。|Azure Active Directory B2B Collaboration|Azure::ActiveDirectory Azure::B2B Identity::Federation Security::IAM
Azure サブスクリプション内で、開発者が特定のリソースグループ内のリソースのみ作成・管理できるようにし、他のリソースに影響を与えないようにする必要がある。最も効果的な方法はどれか。|特定のリソースグループに限定された権限を持つカスタムロールを作成し、開発者に割り当てる|サブスクリプションレベルで Contributor ロールを開発者に割り当てる|Azure Policy を使用して開発者の行動を制限する|Owner ロールでリソースグループへのアクセスを許可する|||||A|Azure RBAC を使用してカスタムロールを作成し、対象リソースグループに割り当てることで、開発者はそのリソースグループ内のみでリソース作成・管理が可能になる。他のリソースグループにはアクセスできないため最小特権の原則を満たす。Contributor をサブスクリプションに割り当てると全リソースを変更可能になる。Azure Policy はアクセス権限管理ではなくガバナンス機能である。Owner は過剰な権限を付与する。|Azure RBAC|Azure::RBAC Azure::ResourceGroup Security::IAM Cloud::Governance
Azure 上の仮想マシンへのネットワークトラフィックでパケットが拒否されていることが確認された。トラフィックの流れを理解し、パケットレベルの検査とセキュリティ監視を行うために使用すべきツールとサービスの組み合わせはどれか。|Azure Network Watcher Packet Capture と Azure Network Security Group|Azure Traffic Analytics と Azure Monitor Logs|Azure Application Gateway と Azure Firewall|Azure Network Watcher IP Flow Verify と NSG Flow Logs|||||A|Azure Network Watcher の Packet Capture 機能は仮想マシンのネットワークパケットをキャプチャし、Wireshark などで詳細分析できる。Network Security Group はトラフィックを許可または拒否するセキュリティルールを提供する。この組み合わせによりパケットレベルの検査とネットワークセキュリティ監視の両方を実現できる。Traffic Analytics や Monitor Logs はパケット検査を提供しない。|Azure ネットワーク監視とセキュリティ|Azure::NetworkWatcher Azure::NSG Azure::Networking Azure::PacketCapture Cloud::NetworkSecurity
Azure Virtual Machines のパフォーマンスメトリクス、ログ、アプリケーション情報を収集し、特定のパフォーマンス閾値でアラートを発生させ、履歴データを分析してトレンド分析を行う必要がある。どの Azure Monitor 機能の組み合わせが最適か。|パフォーマンスの閾値には Metrics Alerts を使用し、ログ分析には Log Analytics を使用する|Application Insights でパフォーマンス監視し、Azure Monitor Workbooks で可視化する|Log Analytics ワークスペースでログを照会し、アクショングループで通知する|Metrics Explorer でリアルタイムメトリクスを確認し、診断設定でログを収集する|||||A|Metrics Alerts は CPU 使用率などのメトリクスに基づいて閾値アラートを発生させる。Log Analytics はログデータを収集して KQL を使用した履歴データ分析やトレンド分析を可能にする。この組み合わせにより Azure VM の包括的な監視とアラート、ログ分析を実現できる。|Azure Monitoring and Management|Azure::Monitor Azure::LogAnalytics Azure::MetricsAlerts Azure::VirtualMachines Cloud::Observability
Azure Event Hubs から Azure Functions を使用してリアルタイムデータを処理するサーバーレスアプリケーションを設計している。各イベントの処理時間は 5 分から最大 60 分まで変動し、イベントトラフィックが急増する可能性がある。コスト管理を維持しながらこれらの要件を満たす Azure Functions のホスティングプランはどれか。|Premium|Dedicated|Consumption|App Service|||||A|Premium プランは Azure Functions の長時間実行と自動スケーリングをサポートする。Consumption プランは通常最大 5～10 分の実行制限があり、60 分の処理には適さない。Dedicated や App Service プランは常時インフラを確保する必要があり、イベントドリブンのサーバーレスワークロードではコスト効率が低くなる。|Azure Functions Hosting Plans|Azure::Functions Azure::EventHubs Azure::Serverless Cloud::EventDriven Cloud::Scalability
10万台の IoT デバイスが毎秒温度と湿度データを送信するシステムを設計している。データは効率的に取り込まれ、保存され、ほぼリアルタイムで分析できる必要がある。また低遅延での処理が求められる。この要件を満たす Azure サービスの組み合わせはどれか。（2つ選択）|Azure Stream Analytics|Azure Blob Storage|Azure Synapse Analytics|Azure Cosmos DB（Change Feed）|||||A D|Azure Stream Analytics はストリーミングデータをリアルタイム処理するサービスであり IoT データ分析に適している。Azure Cosmos DB は低遅延でスケーラブルな NoSQL データベースであり Change Feed を利用することでデータ変更をリアルタイムで検知できる。Blob Storage は主にバッチ分析用途であり、Synapse Analytics はデータウェアハウス分析向けでリアルタイム処理には適さない。|IoT Data Processing and Analytics|Azure::StreamAnalytics Azure::CosmosDB Azure::IoT Cloud::RealTimeAnalytics Cloud::EventDriven
Azure 仮想マシン上で実行される重要なアプリケーションのパフォーマンスと信頼性を監視する必要がある。アプリケーションの依存関係、ユーザーインタラクション、カスタムしきい値によるリアルタイムアラートを提供し、他の Azure サービスと統合できるサービスはどれか。|Azure Monitor|Azure Application Insights|Azure Network Watcher|Azure Service Health|||||B|Azure Application Insights は Application Performance Management (APM) サービスであり、アプリケーションのパフォーマンス、依存関係、ユーザーインタラクションを監視できる。リアルタイムアラートの設定や Azure Monitor との統合も可能である。Azure Monitor は主にインフラ監視、Network Watcher はネットワーク診断、Service Health は Azure サービスの状態確認を目的とする。|Azure Application Performance Monitoring|Azure::ApplicationInsights Azure::Monitor Azure::Observability Cloud::APM Cloud::Monitoring
Azure 仮想マシンのバックアップポリシーを設計している。毎日のバックアップを 30 日間保持し、週次バックアップを 12 週間保持する必要があり、さらに復旧時間目標（RTO）を最小化する必要がある。どの Azure サービスを使用するべきか。|Azure Backup|Azure Site Recovery|Azure Storage Account（Blob Snapshot）|Azure File Sync|||||A|Azure Backup は Azure VM のバックアップを自動化し、日次・週次などの保持ポリシーを設定できる。Recovery Services Vault を使用してバックアップデータを管理し、迅速な復元を提供するため RTO を最小化できる。Azure Site Recovery は災害復旧用、Blob Snapshot は手動管理が必要、Azure File Sync はファイル同期サービスであり VM バックアップには適していない。|Azure Backup and Recovery|Azure::Backup Azure::RecoveryServicesVault Azure::VirtualMachines Cloud::Backup Cloud::DisasterRecovery
Azure でステートレス Web アプリケーションをホストする高可用でスケーラブルなソリューションを設計する。アプリケーションは .NET Framework を完全にサポートし、OS レベルのカスタム設定が可能で、リージョン障害時には自動フェールオーバーできる必要がある。複数インスタンス間でトラフィックを分散するための最適なソリューションはどれか。|カスタムノードプールと Azure Traffic Manager を備えた Azure Kubernetes Service|2 台の Azure VM スケール構成と Azure Front Door|Azure App Service Environment（ASE）と Azure Application Gateway|異なる可用性ゾーンの 2 台の Azure VM と Azure Traffic Manager|||||C|Azure App Service Environment は専用の App Service 環境を提供し .NET Framework をサポートしながら高可用性とスケーラビリティを実現できる。Azure Application Gateway を組み合わせることで複数インスタンスへのトラフィック分散や WAF を提供できる。AKS はコンテナ前提であり、VM 構成はインフラ管理の負担が大きい。|Azure Web Architecture|Azure::AppService Azure::AppServiceEnvironment Azure::ApplicationGateway Cloud::HighAvailability Cloud::LoadBalancing
Windows Server 2022 を実行する Azure VM（VM2）に 1TB の機密データが保存されている。Azure Data Factory を使用してこのデータを処理し Azure Blob Storage に保存する必要がある。処理は仮想ネットワーク内で完結し、パブリックインターネットを経由しないようにしつつ、低遅延で高速なデータ転送を実現する必要がある。どの構成が最適か。|Azure Data Factory Self-hosted Integration Runtime と Private Endpoint|Azure Data Box Gateway|Azure Blob Storage Private Link のみ|Azure Logic Apps と VNet Service Endpoint|||||A|Self-hosted Integration Runtime を VM 上に配置することでローカルの機密データを安全に処理できる。さらに Blob Storage に Private Endpoint を使用することで通信を仮想ネットワーク内に限定し、パブリックインターネットを経由しない安全なデータ転送が可能になる。Data Box Gateway は大量データ転送用、Private Link のみでは処理ができず、Logic Apps は大容量データ統合には適さない。|Azure Data Integration and Security|Azure::DataFactory Azure::IntegrationRuntime Azure::PrivateEndpoint Azure::BlobStorage Cloud::DataIntegration Cloud::PrivateNetworking
Azure 環境に VNet1・VNet2・VNet3 があり、VNet1 とそれぞれピアリングされている。VM2 と VM3 が異なるリージョンに配置されており、VM3 が故障した場合は VM2 に、VM2 が故障した場合は VM3 にトラフィックを誘導する必要がある。ソリューションはリージョンを跨いで動作する必要がある。どのサービスを使用すべきか。|Azure Front Door Premium|Azure Application Gateway (multi-region)|Azure Load Balancer with regional failover|Azure Traffic Manager with custom routing|||||D|Azure Traffic Manager は DNS ベースのグローバルロードバランサーであり、クロスリージョンでのフェイルオーバーとヘルスチェックを提供できる。Load Balancer と Application Gateway はリージョン内サービスであり、Front Door は主に HTTP/HTTPS Web トラフィック用である。|Azure Networking|Azure::TrafficManager Cloud::GlobalLoadBalancing Cloud::DNSRouting Cloud::HighAvailability
Azure Cosmos DB ソリューションで、同一サブスクリプション内の複数ユーザーに対して読み取り・書き込み・削除など役割ごとに異なる権限を設定し、特定のデータベースのみアクセス可能にする必要がある。このようなきめ細かなアクセス制御を実現する最適な方法はどれか。|Azure AD 認証と RBAC を使用してデータベースレベルでロールを割り当てる|共有アクセス署名（SAS）を使用して権限を管理する|Resource Token を Azure Key Vault で管理する|Master Key と Azure AD グループを組み合わせて管理する|||||A|Azure AD と RBAC を使用することでユーザーやグループ単位で細かな権限を設定でき、データベースレベルで読み取り・書き込み・削除などの操作を制御できるため、セキュリティとコンプライアンスを維持したアクセス管理が可能になる。|Azure Cosmos DB アクセス制御|Azure Cosmos DB,RBAC,Azure AD,Security
Azureで100台のVMをホストするためのSubnetAとSite-to-Site VPN用GatewaySubnetを設計する。オンプレミスネットワークは10.1.0.0/16を使用している。高可用性と将来のスケーラビリティを考慮した最適なサブネット設計はどれか。|SubnetA:10.1.0.0/25 GatewaySubnet:10.1.0.128/27|SubnetA:10.1.0.0/24 GatewaySubnet:1.10.0/27|SubnetA:10.1.0.0/23 GatewaySubnet:10.1.2.0/26|SubnetA:10.1.0.0/22 GatewaySubnet:10.1.4.0/27|||||C|100台以上のVMを配置する場合、将来の拡張を考慮すると/23程度の大きなサブネットが望ましい。またAzure VPN GatewayはGatewaySubnetという専用サブネットに配置され、将来的な構成変更や可用性を考慮して/26などの十分なサイズが推奨される。選択肢CはSubnetAが10.1.0.0/23で約512アドレスを確保でき、GatewaySubnetも10.1.2.0/26で十分なIP数を持ち、アドレス重複もないため最適な設計である。|Original Question|Azure::VNet Azure::Subnet Azure::VPNGateway Cloud::Networking Cloud::IPSubnetting
オンプレミスのアプリケーションがSMBプロトコルでアクセスするファイル共有をAzure Storageに移行する。低遅延、高可用性、およびリージョン障害からの迅速な復旧を実現する必要がある。この要件を満たすAzure Storageの冗長性オプションはどれか。|ジオゾーン冗長ストレージ (GZRS)|ローカル冗長ストレージ (LRS)|読み取りアクセス可能ジオゾーン冗長ストレージ (RA-GZRS)|ゾーン冗長ストレージ (ZRS)|||||C|RA-GZRSはゾーン冗長と地理冗長を組み合わせたストレージ冗長方式であり、プライマリリージョンの複数ゾーンとセカンダリリージョンの両方にデータをレプリケーションする。またセカンダリリージョンからの読み取りアクセスが可能であるため、リージョン障害時でもデータへのアクセスを継続できる。LRSは単一データセンターのみ、ZRSはリージョン内のみ、GZRSはセカンダリ読み取り不可であるため要件を完全には満たさない。|Original Question|Azure::Storage Azure::Redundancy Azure::RAGZRS Azure::AzureFiles Cloud::HighAvailability Cloud::DisasterRecovery
Azure Entra IDでマルチテナントアプリケーションを構成する。複数の外部Azure ADテナントのユーザーがシームレスに認証し共有リソースにアクセスできるようにするために必要な構成はどれか。|アプリケーションが要求したすべての権限についてユーザー同意を必須にする|任意の組織ディレクトリ（Azure ADディレクトリ – マルチテナント）のアカウントを許可する|パブリッククライアントフローを許可する設定を有効化する|Azure AD B2Cのカスタムポリシーを使用する|||||B|マルチテナントアプリケーションでは複数のAzure ADテナントのユーザーが同一アプリケーションを利用できる必要がある。そのためAzure Entra IDのアプリ登録設定で「任意の組織ディレクトリ内のアカウント（マルチテナント）」を選択する必要がある。この設定により異なるAzure ADテナントのユーザーが自分の組織アカウントで認証できる。ユーザー同意設定やパブリッククライアントフローは認証方式や権限管理の設定であり、マルチテナント認証の要件を満たさない。Azure AD B2Cは主にコンシューマー向けID管理であり企業間認証には適していない。|Original Question|Azure::EntraID Azure::AppRegistration Azure::MultiTenant Identity::Authentication Cloud::Security
