企業は「FinanceApp」というレガシーアプリケーションをAzureに移行している。このアプリは2TBのSQL Serverデータベースを使用し、複雑なクロスデータベーストランザクションとSQL Server Agentジョブに依存している。管理オーバーヘッドを最小化し、最大35日間のポイントインタイム復旧(PITR)をサポートする必要がある。また、オンプレミスからプライベートネットワーク経由でアクセスでき、パブリックインターネットに公開してはならない。どのAzureサービスを使用すべきか。|Azure SQL Database (Single Database)|Azure SQL Managed Instance|SQL Server on Azure Virtual Machines|Azure Cosmos DB with SQL API|||||B|Azure SQL Managed InstanceはオンプレミスSQL Serverとほぼ100%互換性を持つPaaSサービスであり、SQL Server Agentジョブ、クロスデータベーストランザクション、リンクサーバーなどをサポートする。自動バックアップにより最大35日間のポイントインタイム復元(PITR)を提供し、パッチ適用や管理はMicrosoftが実施するため管理オーバーヘッドが低い。またVNet統合によりVPNやExpressRouteを通じてオンプレミスからプライベート接続が可能で、データベースをパブリックインターネットに公開する必要がない。|Microsoft Learn Azure SQL Managed Instance overview; Microsoft Learn SQL migration guidance|Azure::Database Azure::SQL Azure::ManagedInstance Azure::Migration
10万台のIoTデバイスからリアルタイムテレメトリを処理するイベント駆動アーキテクチャを設計している。各メッセージは10KBで、システムは1秒あたり5,000イベントを処理する必要がある。耐久性のあるメッセージング、少なくとも一度の配信、イベントの再生（再処理）、および複数のコンシューマーグループが同じストリームを独立して読み取れる必要がある。どの2つのAzureサービスを組み合わせるべきか。|Azure Service Bus|Azure Event Hubs|Azure Event Grid|Azure Queue Storage|Azure Notification Hubs||||A,B|Azure Event Hubsは高スループットのイベントストリーミングサービスであり、数千〜数百万イベント/秒の取り込み、パーティション化、イベント保持、オフセットによる再処理、複数のコンシューマーグループによる独立読み取りをサポートする。IoTテレメトリの取り込み基盤として最適である。Azure Service Busは耐久性のあるメッセージングと少なくとも一度の配信を提供するエンタープライズメッセージブローカーであり、イベント処理後のバックエンドワークフローや信頼性の高いメッセージ処理に使用できる。これらを組み合わせることで高スループットイベント取り込みと信頼性の高いメッセージ処理を実現できる。|Microsoft Learn Azure Event Hubs overview; Microsoft Learn Azure Service Bus overview|Azure::Messaging Azure::EventHubs Azure::ServiceBus Azure::EventDrivenArchitecture
組織は、各テナントのデータを専用データベースで物理的に分離する必要があるマルチテナントSaaSアプリケーションを構築している。アプリケーションはテナントごとの弾性スケーリングをサポートし、データベースはパフォーマンス分離、自動バックアップ、パッチ適用を提供する必要がある。アプリケーションは.NET CoreでAzure App Service上にホストされる。最も適したデータベースソリューションはどれか。|Azure SQL Database with elastic pools|Azure Cosmos DB with provisioned throughput|Azure Database for PostgreSQL Hyperscale (Citus)|SQL Server on Azure Virtual Machines with multiple instances|||||A|Azure SQL DatabaseのElastic Poolを使用すると、各テナントごとに専用データベースを作成してデータを物理的に分離しながら、複数のデータベースで計算リソースを共有できる。これによりテナントごとの弾性スケーリングを実現しつつコスト効率を高められる。またAzure SQL DatabaseはPaaSサービスであり、自動バックアップ、パッチ適用、高可用性、ポイントインタイムリストアなどを提供するため管理オーバーヘッドが最小限で済む。さらにAzure App Serviceと.NETアプリケーションとの統合も容易であり、SaaSのマルチテナント設計パターン（Database-per-tenant）に最適である。|Microsoft Learn Azure SQL Database elastic pools overview; Microsoft Learn SaaS database-per-tenant pattern|Azure::Database Azure::SQL Azure::ElasticPool Azure::SaaS
米国東部リージョンのAzure仮想マシンで実行される多層アプリケーションのディザスタリカバリーを設計している。SQL Serverデータベースは1時間あたり50GBのトランザクションログを生成する。回復時間目標(RTO)は30分以内、回復地点目標(RPO)は5分未満である必要がある。どのソリューションを推奨すべきか。|Azure Backup with Instant Restore|Azure Site Recovery with frequent replication updates|SQL Server log shipping to a secondary region|Azure SQL Database geo-replication|||||B|Azure Site Recoveryは仮想マシン全体を別リージョンへ継続的にレプリケーションし、災害時に迅速なフェイルオーバーを実行できるディザスタリカバリーサービスである。頻繁またはほぼ連続的なレプリケーションを構成することで5分未満のRPOを実現でき、復旧計画(Recovery Plan)によりVMや多層アプリケーションの自動フェイルオーバーを実行することで30分未満のRTOを達成できる。OS、SQL Server、データベース、アプリケーション構成を含むVM全体を保護できるため、多層アプリケーションのDR要件に最適である。|Microsoft Learn Azure Site Recovery overview; Microsoft Learn design disaster recovery for Azure VMs|Azure::DR Azure::SiteRecovery Azure::VM Azure::SQLServer
企業は静的コンテンツと動的API応答を提供するグローバル分散Webアプリケーションを導入する。ソリューションはユーザーを最寄りの健全なバックエンドへ自動ルーティングし、TLS終端、DDoS攻撃の軽減、URLベースルーティング、カスタムドメインおよび管理SSL証明書をサポートする必要がある。グローバルルーティングとアクセラレーションに使用するべきAzureサービスはどれか。|Azure Application Gateway|Azure Front Door|Azure Traffic Manager|Azure Content Delivery Network (CDN)|||||B|Azure Front DoorはMicrosoftのグローバルエッジネットワーク上で動作するアプリケーション配信サービスであり、ユーザーを最も近い健全なバックエンドへルーティングするグローバルHTTP/HTTPSロードバランシングを提供する。エッジでのTLS終端、マネージドSSL証明書付きカスタムドメイン、URLベースルーティング、ヘルスプローブによる自動フェイルオーバー、DDoS軽減、動的および静的コンテンツの高速配信をサポートするため、グローバルWebアプリケーションのアクセラレーションとルーティングに最適である。|Microsoft Learn Azure Front Door overview; Microsoft Learn global load balancing in Azure|Azure::Networking Azure::FrontDoor Azure::GlobalLoadBalancing Azure::WebArchitecture
Azure Kubernetes Service (AKS) クラスターで実行されるコンテナ化アプリケーションがAzure Key Vaultにアクセスする必要がある。環境変数やポッド定義に認証情報を保存せずに安全にKey Vaultへアクセスする必要がある。どの方法を使用すべきか。|Kubernetes SecretにKey Vault接続文字列を保存する|Azure AD Pod Identity または AKS Managed Identity を使用する|Azure Storageアカウントに認証情報を保存しファイルをポッドにマウントする|Shared Access Signature (SAS) を使用してKey Vault SDKにアクセスする|||||B|Azure AD Pod Identity（現在はAKS Workload IdentityやManaged Identity）を使用すると、ポッドにAzure ADの管理IDを割り当てることができる。アプリケーションはAzure ADトークンを取得してKey Vaultへ認証できるため、接続文字列やシークレットを環境変数、ポッド定義、またはKubernetes Secretに保存する必要がない。Key VaultへのアクセスはRBACまたはアクセスポリシーで制御され、セキュアかつスケーラブルな方法でシークレット、証明書、キーにアクセスできる。|Microsoft Learn AKS Workload Identity; Microsoft Learn access Azure Key Vault from AKS|Azure::Security Azure::KeyVault Azure::AKS Azure::ManagedIdentity
.NET Framework 4.8 アプリケーションをAzureへ移行している。このアプリケーションはWindows Communication Foundation (WCF) サービスを使用し、ログをWindowsイベントログへ書き込む。またOSを完全に制御でき、サードパーティ製コンポーネントをインストールできる必要がある。どのホスティングオプションを選択すべきか。|Azure App Service|Azure Container Instances|Azure Virtual Machines|Azure Kubernetes Service|||||C|Azure Virtual MachinesはIaaSとしてWindows Serverの完全なOS制御を提供するため、.NET Framework 4.8アプリケーションやWCFサービスを従来のWindows環境と同様にホストできる。Windows Event Logへの書き込み、IISやWindowsサービスの構成、サードパーティソフトウェアやドライバーのインストールなども自由に行えるため、OSレベルの制御が必要なレガシーアプリケーションの移行に最も適している。|Microsoft Learn Azure Virtual Machines overview; Microsoft Learn migrate .NET apps to Azure|Azure::Compute Azure::VirtualMachines Azure::Migration Azure::IaaS
ソーシャルメディアのフィードからストリーミングデータを取り込み、Azure Databricksで変換し、Power BIレポート用のデータウェアハウスへ保存する分析パイプラインを設計している。パイプラインは遅延データの処理とウィンドウ関数を使用した複雑なイベント処理をサポートする必要がある。ストリーム処理エンジンとして使用すべきサービスはどれか。|Azure Stream Analytics|Azure Data Factory|Azure Logic Apps|Azure HDInsight with Storm|||||A|Azure Stream Analyticsはリアルタイムストリーム処理向けのフルマネージドサービスであり、イベント時間処理、遅延データ処理、タンブリング・スライディング・ホッピングなどのウィンドウ関数をサポートする。これにより複雑なイベント処理（CEP）やリアルタイム集計を実行できる。Event HubsやIoT Hubなどからストリームデータを取り込み、Azure Synapse、SQL Database、Data Lake、Power BIなどへ直接出力できるため、ストリーミング分析パイプラインのストリーム処理エンジンとして最適である。|Microsoft Learn Azure Stream Analytics overview; Microsoft Learn process streaming data in Azure|Azure::Analytics Azure::StreamAnalytics Azure::Streaming Azure::DataPipeline
複数リージョンで読み取りレプリカを持つマルチリージョンデータベースを構築する必要がある。アプリケーションは任意のレプリカに書き込める必要があり、競合は自動的に解決されなければならない。また同一リージョンで10ms未満の読み取り遅延が必要である。どのAzureサービスを使用すべきか。|Azure SQL Database with active geo-replication|Azure SQL Managed Instance with failover groups|Azure Cosmos DB with multi-region writes|Azure Database for PostgreSQL with read replicas|||||C|Azure Cosmos DBはグローバル分散データベースであり、マルチリージョン書き込み（マルチマスター）をサポートする。これにより任意のリージョンのレプリカに書き込み可能で、サービスが自動的に他リージョンへレプリケーションを行う。また最終書き込み優先などのポリシーによる自動コンフリクト解決機能を提供する。Cosmos DBは低遅延アクセス向けに設計されており、同一リージョンでは通常10ms未満の読み取りレイテンシを実現できるため、この要件に最も適している。|Microsoft Learn Azure Cosmos DB global distribution; Microsoft Learn multi-region writes|Azure::CosmosDB Azure::GlobalDistribution Azure::MultiRegion Azure::NoSQL
AKS上にマイクロサービスアプリケーションをデプロイしている。各マイクロサービスは1つの公開APIを除き、クラスタ内部からのみアクセス可能である必要がある。またTLS終了、パスベースルーティング、WebSocket接続をサポートする必要がある。どのIngressコントローラーを使用すべきか。|NGINX Ingress Controller|Azure Application Gateway Ingress Controller (AGIC)|Traefik|HAProxy|||||B|Azure Application Gateway Ingress Controller (AGIC) は Azure Application Gateway と統合された AKS 用 Ingress コントローラーであり、TLS 終了、パスベースのルーティング、WebSocket サポートを提供する。Application Gateway を使用することで単一の公開エンドポイントを安全に公開し、その他のマイクロサービスはクラスター内部のみに制限できる。また Azure ネイティブ統合により WAF、証明書管理、スケーリングなどの機能を利用できるため、この要件に最も適している。|Microsoft Learn Azure Application Gateway Ingress Controller overview; Microsoft Learn AKS ingress options|Azure::AKS Azure::Networking Azure::Ingress Azure::ApplicationGateway
オンプレミスシステムがパブリックインターネットを経由せずにAzureサービスへアクセスできるハイブリッド接続を設計する必要がある。Azure StorageやAzure SQL DatabaseなどのPaaSサービスをサポートし、パブリックエンドポイントを使用してはならない。どのサービスを使用すべきか。|Azure VPN Gateway|Azure ExpressRoute|Azure Private Link|Azure Service Endpoints|||||B|Azure ExpressRouteはオンプレミスネットワークとMicrosoft Azure間に専用のプライベート接続を提供するサービスであり、パブリックインターネットを経由せずにAzureリソースへアクセスできる。ExpressRouteのプライベートピアリングによりAzure Virtual NetworkおよびAzure StorageやAzure SQL DatabaseなどのPaaSサービスへ安全に接続できるため、パブリックエンドポイントを使用しないハイブリッド接続要件を満たす。|Microsoft Learn Azure ExpressRoute overview; Microsoft Learn connect on-premises networks to Azure|Azure::Networking Azure::ExpressRoute Azure::HybridConnectivity Azure::PaaSAccess
機械学習モデルをREST APIとして公開したい。モデルは需要に応じて自動スケールし、企業は基盤インフラを管理したくない。またカスタムPython依存関係とGPUアクセラレーションをサポートする必要がある。どのAzureサービスを使用すべきか。|Azure Kubernetes Service|Azure Container Instances|Azure Machine Learning Compute Instance|Azure Machine Learning Managed Endpoint|||||D|Azure Machine Learning Managed Endpointsは、機械学習モデルをREST APIとして公開するためのフルマネージド推論サービスである。インフラ管理不要で自動スケーリングを提供し、Azure ML環境を利用してカスタムPython依存関係を定義できる。またGPUベースの推論ノードを使用できるため、高性能なモデル推論ワークロードにも対応できる。これにより、サーバー管理なしで本番環境向けのML APIを提供できる。|Microsoft Learn Azure Machine Learning managed online endpoints; Microsoft Learn deploy ML models as REST endpoints|Azure::MachineLearning Azure::MLDeployment Azure::ManagedEndpoints Azure::AI
コンプライアンス要件のため1PBのデータを長期保存するデータアーカイブソリューションを設計している。データはほとんどアクセスされないが、必要な場合は24時間以内に取得できなければならない。また費用対効果が高く、法的拘束と不変性をサポートする必要がある。どのAzureストレージ階層と機能を使用すべきか。|Blob Storage Cool tier with soft delete|Blob Storage Archive tier with legal hold|Azure Files Premium with snapshots|Azure Data Lake Storage with lifecycle management|||||B|Azure Blob Storage Archive tierは、ほとんどアクセスされないデータ向けに設計された最も低コストのストレージ階層であり、大規模アーカイブ（1PBなど）に最適である。必要な場合は再水和（rehydration）により数時間〜24時間以内にデータを取得できる。またBlobの不変ストレージ機能により、Legal HoldやWORMポリシーを設定でき、データの削除や変更を防止してコンプライアンス要件を満たすことができる。|Microsoft Learn Azure Blob Storage access tiers; Microsoft Learn immutable storage and legal hold|Azure::Storage Azure::BlobStorage Azure::ArchiveTier Azure::Compliance
Azure FunctionsがAzure Service Busキューから注文メッセージを処理している。負荷が高い場合は複数インスタンスにスケールする必要があるが、各注文は受信順序で正確に1回処理される必要がある。Azure Service Busトリガーでどの設定を使用すべきか。|maxConcurrentCalls を 1 に設定する|Service Bus セッションを使用し、maxConcurrentSessions をインスタンス数に設定する|Service Busの代わりにStorage Queueを使用する|batchSizeを1に設定してシングルトン関数を使用する|||||B|Azure Service Busのセッション機能を使用すると、同一セッション内のメッセージが順序どおりに処理されることが保証される。Azure FunctionsのService Busトリガーでセッションを有効にし、maxConcurrentSessionsをインスタンス数に合わせて設定することで、各セッション内では順序を維持しながら、複数セッションを並列処理できる。これによりスケールアウトと順序保証を両立でき、各注文を1回のみ順序通り処理できる。|Microsoft Learn Azure Service Bus sessions; Microsoft Learn Azure Functions Service Bus trigger scaling|Azure::ServiceBus Azure::Functions Azure::Messaging Azure::Sessions
Azure App ServiceでWebアプリをホストしている。アプリはAzure Active Directoryでユーザー認証を行い、グループメンバーシップに基づく認可を実装する必要がある。また信頼できないネットワークからのアクセスには多要素認証などの条件付きアクセスポリシーを適用する必要がある。どの設定を使用すべきか。|Azure AD を使用した App Service Authentication を有効化する|Azure API Management で JWT 検証を使用する|アプリケーションコードにカスタム認証を実装する|Azure Front Door と WAF のアクセスルールを使用する|||||A|App Service Authentication（Easy Auth）をAzure Active Directoryと統合すると、アプリケーションコードを変更せずにユーザー認証を実装できる。Azure ADはトークンにグループクレームを含めるため、アプリはグループメンバーシップに基づく認可を実装できる。また条件付きアクセス（例：信頼されていないネットワークからのMFA）をAzure AD側で適用できるため、セキュアな認証とアクセス制御を一元管理できる。|Microsoft Learn App Service authentication and authorization; Microsoft Learn Azure AD Conditional Access|Azure::AppService Azure::ActiveDirectory Azure::Authentication Azure::ConditionalAccess
10TBのオンプレミスSQL ServerデータベースをAzureへ移行する必要がある。移行中もデータベースはオンラインのままである必要があり、ダウンタイムは1時間未満でなければならない。どのサービスを使用すべきか。|Azure Database Migration Service をオンラインモードで使用する|SQL Server Backup to URL を使用して Azure で復元する|Azure Data Factory と Self-hosted Integration Runtime を使用する|bcp (Bulk Copy Program) ユーティリティを使用する|||||A|Azure Database Migration Service (DMS) のオンライン移行モードは、オンプレミスSQL ServerからAzure SQL DatabaseまたはAzure SQL Managed Instanceへデータを継続的に同期しながら移行できる。移行中もソースデータベースはオンラインのままで、最終カットオーバー時のみ短時間の停止が必要となるため、1時間未満のダウンタイム要件を満たす大規模データベース（10TBなど）の移行に最適である。|Microsoft Learn Azure Database Migration Service overview; Microsoft Learn perform online migrations to Azure SQL|Azure::DatabaseMigration Azure::SQLServer Azure::Migration Azure::DMS
製造設備のセンサーデータをリアルタイムで可視化するダッシュボードを構築している。データはAzure Event Hubに取り込まれ、インタラクティブなフィルタリングと集約を用いてほぼリアルタイムで表示する必要がある。どのAzureサービスを使用すべきか。|Power BI streaming dataset|Azure Dashboard with Event Hub metrics|Azure Data Explorer dashboards|Azure Time Series Insights|||||D|Azure Time Series InsightsはIoTやセンサーデータなどの時系列データ向けに設計されたマネージド分析サービスである。Azure Event Hubから直接データを取り込み、ほぼリアルタイムで可視化できる。またインタラクティブなフィルタリング、集約、時系列分析をサポートするダッシュボードを提供するため、製造設備のリアルタイムテレメトリ監視に最適である。|Microsoft Learn Azure Time Series Insights overview; Microsoft Learn analyze IoT time series data|Azure::IoT Azure::TimeSeriesInsights Azure::EventHubs Azure::RealTimeAnalytics
ステートフルなアプリケーションをAzure Kubernetes Service(AKS)にデプロイしている。このアプリケーションは複数のポッド間で共有できる永続ストレージを必要とし、動的プロビジョニングと高スループットをサポートする必要がある。どのストレージソリューションを使用すべきか。|Azure Disk (ReadWriteOnce)|Azure Files (ReadWriteMany)|Azure NetApp Files|Azure Blob Storage (CSI driver)|||||B|Azure FilesはKubernetesでReadWriteMany(RWX)アクセスモードをサポートしており、複数のポッドが同時に同じストレージを読み書きできる。AKSではCSIドライバーを使用した動的プロビジョニングが可能であり、共有ファイルシステムとして利用できるためステートフルアプリケーションに適している。Azure DiskはReadWriteOnceで単一ノードのみ、Blobはオブジェクトストレージであり共有ファイルシステム用途には適さない。|Microsoft Learn Azure Files for AKS; Microsoft Learn Kubernetes persistent volumes on AKS|Azure::AKS Azure::Storage Azure::AzureFiles Azure::KubernetesStorage
Azure App Serviceで実行されているアプリケーションのパフォーマンス問題や障害を監視する必要がある。ソリューションは異常を自動検出し、依存関係の可視化を提供し、カスタムテレメトリをサポートする必要がある。どのAzureサービスを使用すべきか。|Azure Monitor with Application Insights|Azure Log Analytics with custom logs|Azure Service Health|Azure Network Watcher|||||A|Application Insightsはアプリケーションのパフォーマンス、例外、依存関係呼び出し、ユーザー要求などのテレメトリを自動収集できる。AIベースの異常検出、依存関係マッピング、分散トレース、カスタムイベントやメトリクスの送信をサポートし、Azure Monitorと統合することでアラート、ログ分析、ダッシュボードを提供できる。App Serviceアプリケーション監視の標準的なソリューションである。|Microsoft Learn Monitor apps with Application Insights; Microsoft Learn Azure Monitor overview|Azure::Monitoring Azure::ApplicationInsights Azure::AzureMonitor Azure::AppService
Azure仮想マシンで基幹業務アプリケーションを実行している。バックアップは規制要件により7年間保持する必要があり、復旧プロセスは自動化されていなければならない。どのバックアップ構成を使用すべきか。|Azure Backup with Recovery Services Vault and long-term retention|Azure Site Recovery with multi-region replication|Snapshot-based backups using Azure Automation|Custom scripts copying VHDs to Blob Storage|||||A|Azure BackupはRecovery Services Vaultを使用してAzure VMのバックアップを管理し、自動バックアップスケジュールと長期保持ポリシーを提供する。日次・週次・月次・年次保持ルールを設定でき、7年間などの規制要件を満たす長期保存を実現できる。さらに自動復元機能、RBAC、暗号化、監視を備えたマネージドバックアップサービスであり、エンタープライズバックアップ戦略に適している。|Microsoft Learn Azure Backup overview; Microsoft Learn backup Azure virtual machines|Azure::Backup Azure::RecoveryServicesVault Azure::VirtualMachines Azure::DisasterRecovery
Azure Cosmos DB を使用してグローバルに分散したアプリケーションを設計している。読み取りは非常に重要で、世界中のユーザーに20ms未満の遅延で提供する必要がある。一次リージョンでは金融取引のため強い一貫性が重要だが、二次リージョンでは多少古いデータを許容できる。またすべてのリージョンで読み取りコストを最小化する必要がある。どの構成を使用すべきか。|Strong consistency with multi-region writes|Session consistency with single write region and multiple read regions|Eventual consistency with multi-region writes|Bounded staleness with single write region and multiple read regions|||||B|Session consistencyはCosmos DBで最も一般的な一貫性レベルであり、クライアントセッション内ではread-your-writesを保証しながら低遅延の読み取りを提供する。単一書き込みリージョンを使用することで金融取引データの整合性を維持でき、複数の読み取りリージョンからローカル読み取りを行うことで20ms未満の低遅延と読み取りRUコストの最小化を実現できる。二次リージョンではレプリケーション遅延により多少古いデータが表示される可能性があるが、要件として許容されている。|Microsoft Learn Azure Cosmos DB consistency levels; Microsoft Learn design globally distributed apps with Cosmos DB|Azure::CosmosDB Azure::GlobalDistribution Azure::Consistency Azure::Architecture
Azure Kubernetes Service(AKS)を使用したマルチリージョンのマイクロサービスアプリケーション向けにCI/CDパイプラインを構築している。新しいバージョンを各リージョンの少数のライブユーザーでテストし、ヘルスチェック失敗時には自動ロールバックし、次のユーザーグループへ進む際には手動承認を必要とする展開戦略はどれか。|Blue-Green deployment|Canary release using Traffic Manager|Rolling update strategy|Deployment rings with approval gates|||||D|Deployment ringsは段階的にユーザーグループ（リング）へ展開する戦略であり、最初に少数ユーザーへリリースして検証し、その後段階的に拡大できる。Azure DevOpsでは各リング間に承認ゲートを設定でき、ヘルスチェック失敗時には自動ロールバックも可能である。これによりマルチリージョンAKS環境で安全に段階的リリースを行える。|Microsoft Learn progressive exposure deployment patterns; Microsoft Learn Azure DevOps release gates|Azure::DevOps Azure::CI/CD Azure::AKS Azure::DeploymentStrategy
Azure仮想マシンでホストされているインターネット向けアプリケーションのネットワークセキュリティを設計している。アプリケーションはHTTPSのみでアクセス可能にし、SSH/RDP管理ポートはインターネットからアクセスできないようにする必要がある。またすべての仮想ネットワークに対して集中型ネットワーク監視と脅威検出を提供する必要がある。どのサービスの組み合わせを使用すべきか。|Network Security Groups (NSG) and Azure Firewall with Threat Intelligence|Azure DDoS Protection Standard and Application Security Groups|Azure Web Application Firewall (WAF) and Azure Bastion|Azure Front Door and Just-In-Time VM access|||||A|NSGはサブネットやNICレベルでトラフィックを制御でき、HTTPS(443)のみ許可しSSH(22)やRDP(3389)をインターネットからブロックできる。Azure Firewallは中央集約型のステートフルファイアウォールであり、Threat Intelligence機能により悪意あるIPやトラフィックを検出・ブロックできる。ログはAzure MonitorやLog Analyticsに送信でき、すべてのVNetに対する集中監視と脅威検出を実現する。|Microsoft Learn Azure Firewall overview; Microsoft Learn network security groups overview|Azure::Networking Azure::NSG Azure::AzureFirewall Azure::SecurityArchitecture
バックグラウンドジョブ処理にAzure Queue Storageを使用している。高負荷時にワーカーがクラッシュすると、メッセージ削除前に再配信され複数回処理されることがある。処理は冪等だが、重複処理はコストを増加させる。信頼性を維持しつつ重複処理を最小化するにはどのアプローチが最適か。|Switch to Service Bus queue with duplicate detection enabled|Use Azure Event Hubs with checkpointing|Implement distributed locking using Azure Blob Storage|Reduce visibility timeout and use poison queue pattern|||||A|Azure Service BusはDuplicate Detection機能を提供し、指定した時間ウィンドウ内で同じMessageIdを持つメッセージを自動的に破棄できる。これによりワーカーがクラッシュして再送された場合でも重複処理を防止できる。Service BusはPeek-Lock、デッドレタリング、再試行などの信頼性機能も備えており、Queue Storageよりも信頼性の高いジョブ処理を実現できる。|Microsoft Learn Azure Service Bus duplicate detection; Microsoft Learn compare Storage queues and Service Bus|Azure::Messaging Azure::ServiceBus Azure::QueueProcessing Azure::Architecture
不正検出のリアルタイム機械学習モデルをデプロイする。モデルはDockerコンテナでパッケージ化されておりGPUアクセラレーションが必要である。リクエスト量に応じて自動スケーリングし、インフラ管理のオーバーヘッドは最小化する必要がある。どのAzure Machine Learningコンピューティングターゲットを使用すべきか。|Azure Kubernetes Service with GPU node pool|Azure Container Instances with GPU support|Azure Machine Learning compute cluster|Azure Machine Learning managed endpoint with GPU inference|||||D|Azure Machine Learning Managed Endpointはリアルタイム推論向けの完全マネージドサービスであり、GPU対応の推論環境を提供する。Dockerコンテナ化されたモデルを直接デプロイでき、リクエスト量に応じた自動スケーリングをサポートする。インフラのプロビジョニング、スケーリング、パッチ適用などをAzureが管理するため、AKSなどと比較して運用オーバーヘッドを大幅に削減できる。|Microsoft Learn deploy models with Azure ML managed endpoints; Microsoft Learn Azure ML inference compute targets|Azure::MachineLearning Azure::ManagedEndpoints Azure::GPU Azure::MLOps
Azure上でメダリオンアーキテクチャのデータレイクを構築している。ソリューションはACIDトランザクション、スキーマ進化、タイムトラベル機能をサポートし、データエンジニアが効率的に運用できる必要がある。どのストレージフォーマットと処理エンジンを使用すべきか。|Parquet files in Azure Data Lake Storage with Azure Databricks|Delta Lake format with Azure Databricks|ORC files with Azure HDInsight|Avro files with Azure Synapse Analytics|||||B|Delta LakeはParquetベースのストレージにトランザクションログを追加することでACIDトランザクションを実現し、MERGE・UPDATE・DELETEなどの操作をサポートする。またスキーマ進化、スキーマ強制、タイムトラベル機能を提供し、監査や規制要件にも対応できる。Azure DatabricksはDelta Lakeとネイティブに統合されており、メダリオンアーキテクチャ（Bronze・Silver・Gold）のデータ処理パイプラインを効率的に構築できる。|Microsoft Learn Delta Lake overview; Microsoft Learn Azure Databricks lakehouse architecture|Azure::Databricks Azure::DeltaLake Azure::DataLake Azure::MedallionArchitecture
特定のオンプレミスActive DirectoryグループのみをAzure ADに同期し、特定のOUを除外する必要がある。ソリューションはパスワードハッシュ同期をサポートし、カスタムPowerShellスクリプトを使用せずにフィルタリングできる必要がある。どのAzure AD Connect構成を使用すべきか。|Azure AD Connect with domain and OU filtering|Azure AD Connect Cloud Sync with scoping filters|Active Directory Federation Services (AD FS) with claim rules|Azure AD Connect with group-based filtering|||||D|Azure AD Connectのグループベースフィルタリングを使用すると、特定のオンプレミスADグループのみをAzure ADに同期できる。OU構造を変更する必要がなく、選択したグループメンバーだけを同期対象にできる。またAzure AD Connectはパスワードハッシュ同期をネイティブにサポートしており、カスタムPowerShellスクリプトを使用せずに同期範囲を制御できる。|Microsoft Learn Azure AD Connect sync filtering; Microsoft Learn Hybrid identity synchronization|Azure::Identity Azure::AADConnect Azure::HybridIdentity Azure::DirectorySync
Blob Storage にアップロードされた高解像度画像からサムネイルを生成する Azure Functions アプリがある。各処理は 3〜4 分かかり、ピーク時には数千枚の画像が同時にアップロードされる。コストを抑えつつ安定したパフォーマンスを確保するためにどのホスティングプランを使用すべきか。|Consumption plan|Premium plan|App Service plan (EP1 tier)|Dedicated Kubernetes cluster|||||B|Azure Functions Premium plan は事前ウォームされたインスタンスを持ち、コールドスタートを回避できるため、3〜4分の長時間処理や高い同時実行ワークロードでも安定したパフォーマンスを提供する。また自動スケールにより数千件の並列処理にも対応できる。Consumption plan はコールドスタートや同時実行制限の影響を受けやすく、Kubernetes や専用 App Service は管理コストが高くなるため、このシナリオでは Premium plan が最適である。|Microsoft Learn Azure Functions hosting plans; Microsoft Learn Azure Functions scaling and performance|Azure::Functions Azure::Serverless Azure::Scaling Azure::HostingPlan
営業時間中にAzure SQL Databaseで予測不能なパフォーマンス低下が発生し、クエリのタイムアウトや応答遅延が報告されている。アプリケーションの変更なしでクエリパフォーマンスを自動的に改善するにはどの機能を有効にするべきか。|Query Performance Insight for monitoring|Automatic tuning with force plan option|Scale-out replicas|In-memory OLTP|||||B|Azure SQL Database の Automatic Tuning（force plan）を有効にすると、クエリプランの回帰を自動的に検出し、以前の安定した実行プランを強制適用することでパフォーマンスを回復できる。これはデータベースエンジン側で自動的に実行されるため、アプリケーションコードの変更は不要である。Query Performance Insight は監視のみで改善は行わず、スケールアウトや In-memory OLTP はアプリやアーキテクチャ変更が必要になる。|Microsoft Learn Automatic tuning in Azure SQL Database; Microsoft Learn Query performance troubleshooting Azure SQL|Azure::SQLDatabase Azure::Performance Azure::AutomaticTuning Azure::QueryOptimization
金融機関が支店間決済のためのプライベートブロックチェーンネットワークを導入したい。ソリューションは機密取引をサポートし、Azure Active Directory と統合した ID 管理を提供し、高可用性の完全マネージドサービスである必要がある。どの Azure ブロックチェーンサービスを選択すべきか。|Azure Blockchain Service|Ethereum on Azure Kubernetes Service|Corda on Azure Virtual Machines|Hyperledger Fabric on AKS|||||A|Azure Blockchain Service はエンタープライズ向けの完全マネージドなブロックチェーンプラットフォームであり、プライベートで許可型のネットワークを構築できる。Azure Active Directory と統合して ID 管理と RBAC を実現し、高可用性やインフラ管理を Azure が提供するため運用負荷が低い。金融取引のような機密性の高いワークロードに適している。AKS や VM 上のブロックチェーンは管理負荷が高く、完全マネージド要件を満たさない。|Microsoft Learn Azure Blockchain Service overview; Microsoft Learn enterprise blockchain architectures|Azure::Blockchain Azure::AAD Azure::DistributedLedger Azure::Architecture
